geometry,GCX_OID,Area,Line,Tag No,Date Checked,Baited With,Baited On,Status,Comment,User ID,Trap Type,Trap No,E,N
"X: 1506338.3498, Y: 5254968.0407, Z: NaN",10,Poulter Valley,Poulter Ranger Stream,PRS56,2021-02-04T00:40:56.0000000,Erayz / Egg,2021-02-04T00:40:56.0000000,Maintenance required functioning,only has one rebar ,Josh Humphreys,DOC 200 Double,56,1506338,5254968
"X: 1509659.7444, Y: 5247830.7775, Z: NaN",11,Poulter Valley,Poulter Cleland,PC15,2021-02-06T20:26:46.0000000,Muscattract / Egg,2021-02-06T20:26:46.0000000,Maintenance required functioning,1 trap. end baffles not attached properly ,Paul Guest,Mk4 Fenn Double,15,1509660,5247831
"X: 1506552.6756, Y: 5255190.5566, Z: NaN",12,Poulter Valley,Poulter Mid Terrace,MT6,2021-01-07T23:14:27.0000000,Erayz / Egg,2021-01-07T23:14:27.0000000,Maintenance required functioning,one trap rusted ,Josh Humphreys,Mk4 Fenn Double,6,1506553,5255191
"X: 1508613.983, Y: 5251734.2893, Z: NaN",13,Poulter Valley,Poulter Fenwick,PFW12,2021-01-09T00:17:21.0000000,Erayz / Egg,2021-01-09T00:17:21.0000000,Maintenance required functioning,needs rebar screwed onto box,Josh Humphreys,DOC 200 Double,12,1508614,5251734
"X: 1507304.9633, Y: 5255201.0108, Z: NaN",14,Poulter Valley,Poulter Back Terrace,BT61,2021-01-08T20:50:01.0000000,Erayz / Egg,2021-01-08T20:50:01.0000000,Maintenance required functioning,one trap unserviceable/missing parts - used to block baffle,Paul Guest,Mk4 Fenn Double,61,1507305,5255201
"X: 1509322.837, Y: 5245734.7387, Z: NaN",15,Poulter Valley,Poulter Brown,PB22,2021-01-06T23:17:07.0000000,Erayz Block,2021-01-06T23:17:07.0000000,Maintenance required functioning,needs 1 fenn,Alicia Mason ,Mk4 Fenn Double,22,1509323,5245735
"X: 1509243.6509, Y: 5242083.4428, Z: NaN",16,Poulter Valley,Poulter Vehicle Track,PVT23,2021-02-02T21:23:38.0000000,Erayz / Egg,2021-02-02T21:23:38.0000000,Maintenance required functioning,bring tools to reposition rebar in ground,Josh Humphreys,DOC 200 Double,23,1509244,5242083
"X: 1509401.2368, Y: 5241828.2058, Z: NaN",17,Poulter Valley,Poulter Vehicle Track,PVT26,2021-02-02T21:20:14.0000000,Erayz / Egg,2021-02-02T21:20:14.0000000,Maintenance required functioning,1x rebar and repositioning required ,Josh Humphreys,DOC 200 Double,26,1509401,5241828
"X: 1507068.364, Y: 5248573.5762, Z: NaN",18,Poulter Valley,Poulter Stag,PS21,2021-02-02T22:18:04.0000000,Erayz Block,2021-02-02T22:18:04.0000000,Maintenance required functioning,replace lid nail ,Paul Guest,DOC 150 Single,21,1507068,5248574
"X: 1508259.6864, Y: 5247742.0177, Z: NaN",19,Poulter Valley,Poulter Stag,PS38,2021-02-02T20:56:03.0000000,Erayz Block,2021-02-02T20:56:03.0000000,Maintenance required functioning,replace lid nail,Paul Guest,DOC 150 Single,38,1508260,5247742
"X: 1503365.2659, Y: 5258003.7487, Z: NaN",20,Poulter Valley,Poulter Lake Minchin,PLM31,2021-02-04T22:46:42.0000000,Muscattract,2021-02-04T22:46:42.0000000,Maintenance required functioning,marker tree fallen in eroded bank. consider repositioning further up from spillover path. ,Paul Guest,DOC 200 Double,31,1503365,5258004
"X: 1505765.388, Y: 5254538.8322, Z: NaN",21,Poulter Valley,Poulter Gauge Line,PGL44,2021-02-07T20:01:52.0000000,Muscattract / Egg,2021-02-07T20:01:52.0000000,Maintenance required functioning,"collects overflow water and silt, consider repositioning ",Paul Guest,DOC 200 Double,44,1505765,5254539
